id,indicator_code,spatial_dim_type,spatial_dim,time_dim_type,parent_location_code,parent_location,time_dim,numeric_value,low,high,date,time_dimension_value,time_dimension_begin,time_dimension_end
3254404,MDG_0000000026,COUNTRY,NRU,YEAR,WPR,Western Pacific,2007,302.6688646,155.0975711,596.394681,2025-04-10 15:44:11.957000+02:00,2007,2007-01-01 00:00:00+01:00,2007-12-31 00:00:00+01:00
3254753,MDG_0000000026,COUNTRY,TZA,YEAR,AFR,Africa,2023,275.843788,192.0639278,429.0205761,2025-04-10 15:44:11.957000+02:00,2023,2023-01-01 00:00:00+01:00,2023-12-31 00:00:00+01:00
3255664,MDG_0000000026,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,2009,19.29470136,14.01478206,26.57367472,2025-04-10 15:44:11.957000+02:00,2009,2009-01-01 00:00:00+01:00,2009-12-31 00:00:00+01:00
3262286,MDG_0000000026,COUNTRY,EST,YEAR,EUR,Europe,2014,6.81232326,4.402493688,10.16479416,2025-04-10 15:44:11.957000+02:00,2014,2014-01-01 00:00:00+01:00,2014-12-31 00:00:00+01:00
3262891,MDG_0000000026,COUNTRY,LBN,YEAR,EMR,Eastern Mediterranean,2015,14.86967757,11.75371398,19.06458835,2025-04-10 15:44:11.957000+02:00,2015,2015-01-01 00:00:00+01:00,2015-12-31 00:00:00+01:00
3265505,MDG_0000000026,COUNTRY,SSD,YEAR,AFR,Africa,1986,3719.698182,2389.000789,5438.458282,2025-04-10 15:44:11.957000+02:00,1986,1986-01-01 00:00:00+01:00,1986-12-31 00:00:00+01:00
3269398,MDG_0000000026,COUNTRY,DZA,YEAR,AFR,Africa,1988,227.227007,150.560314,320.7463237,2025-04-10 15:44:11.957000+02:00,1988,1988-01-01 00:00:00+01:00,1988-12-31 00:00:00+01:00
3269527,MDG_0000000026,COUNTRY,CZE,YEAR,EUR,Europe,2014,3.225398396,2.371641488,4.243352204,2025-04-07 06:46:44.380000+02:00,2014,2014-01-01 00:00:00+01:00,2014-12-31 00:00:00+01:00
3270184,MDG_0000000026,COUNTRY,MRT,YEAR,AFR,Africa,1992,810.8154357,571.2145988,1076.234939,2025-04-10 15:44:11.957000+02:00,1992,1992-01-01 00:00:00+01:00,1992-12-31 00:00:00+01:00
3270750,MDG_0000000026,COUNTRY,DOM,YEAR,AMR,Americas,2004,77.85296332,73.519144,82.13136449,2025-04-10 15:44:11.957000+02:00,2004,2004-01-01 00:00:00+01:00,2004-12-31 00:00:00+01:00
3275569,MDG_0000000026,COUNTRY,LSO,YEAR,AFR,Africa,1999,371.1646021,296.4290246,477.0104095,2025-04-10 15:44:11.957000+02:00,1999,1999-01-01 00:00:00+01:00,1999-12-31 00:00:00+01:00
3279302,MDG_0000000026,COUNTRY,WSM,YEAR,WPR,Western Pacific,2014,106.262807,51.59771673,224.0615681,2025-04-10 15:44:11.957000+02:00,2014,2014-01-01 00:00:00+01:00,2014-12-31 00:00:00+01:00
3279780,MDG_0000000026,COUNTRY,BWA,YEAR,AFR,Africa,2022,120.4160462,85.9097398,173.6952075,2025-04-10 15:44:11.957000+02:00,2022,2022-01-01 00:00:00+01:00,2022-12-31 00:00:00+01:00
3281487,MDG_0000000026,COUNTRY,WSM,YEAR,WPR,Western Pacific,1986,153.22491,88.30522886,267.6500709,2025-04-10 15:44:11.957000+02:00,1986,1986-01-01 00:00:00+01:00,1986-12-31 00:00:00+01:00
3284070,MDG_0000000026,COUNTRY,CRI,YEAR,AMR,Americas,2021,43.94856338,34.31127114,55.00466891,2025-04-10 15:44:11.957000+02:00,2021,2021-01-01 00:00:00+01:00,2021-12-31 00:00:00+01:00
3285616,MDG_0000000026,COUNTRY,AND,YEAR,EUR,Europe,2005,12.66888026,6.632249596,23.43269154,2025-04-10 15:44:11.957000+02:00,2005,2005-01-01 00:00:00+01:00,2005-12-31 00:00:00+01:00
3286540,MDG_0000000026,COUNTRY,FJI,YEAR,WPR,Western Pacific,2003,47.13741261,39.84621175,55.4240675,2025-04-10 15:44:11.957000+02:00,2003,2003-01-01 00:00:00+01:00,2003-12-31 00:00:00+01:00
